id,name,url,institution
1,Machine Learning,https://www.classcentral.com/course/machine-learning-835,Stanford University
2,"Information Systems Auditing, Controls and Assurance",https://www.classcentral.com/course/information-systems-audit-17979,The Hong Kong University of Science and Technology
3,"Algorithms, Part I",https://www.classcentral.com/course/algs4partI-339,Princeton University
4,Cryptography I,https://www.classcentral.com/course/crypto-616,Stanford University
5,"Internet History, Technology, and Security",https://www.classcentral.com/course/insidetheinternet-335,University of Michigan
6,Bitcoin and Cryptocurrency Technologies,https://www.classcentral.com/course/bitcointech-3655,Princeton University
7,"Algorithms, Part II",https://www.classcentral.com/course/algs4partII-340,Princeton University
8,Discrete Optimization,https://www.classcentral.com/course/optimization-487,University of Melbourne
9,Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital,https://www.classcentral.com/course/images-462,Duke University
10,Analysis of Algorithms,https://www.classcentral.com/course/aofa-921,Princeton University
11,Computer Architecture,https://www.classcentral.com/course/comparch-342,Princeton University
12,Cryptography II,https://www.classcentral.com/course/crypto2-425,Stanford University
13,Internet of Things: Setting Up Your DragonBoard™ Development Platform,https://www.classcentral.com/course/internet-of-things-dragonboard-4260,"University of California, San Diego "
14,"Programming Languages, Part B",https://www.classcentral.com/course/programming-languages-part-b-6920,University of Washington
15,Detección de objetos,https://www.classcentral.com/course/deteccion-objetos-3194,Universitat Autònoma de Barcelona (Autonomous University of Barcelona)
16,"Networks: Friends, Money, and Bytes",https://www.classcentral.com/course/friendsmoneybytes-359,Princeton University
17,Networks Illustrated: Principles without Calculus,https://www.classcentral.com/course/ni-891,Princeton University
18,Quantitative Formal Modeling and Worst-Case Performance Analysis,https://www.classcentral.com/course/quantitative-formal-modeling-1-4864,EIT Digital
19,The Unix Workbench,https://www.classcentral.com/course/unix-8866,Johns Hopkins University
20,"Programming Languages, Part C",https://www.classcentral.com/course/programming-languages-part-c-7187,University of Washington
21,Введение в машинное обучение,https://www.classcentral.com/course/introduction-machine-learning-4474,Higher School of Economics
22,機器學習基石上 (Machine Learning Foundations)—Mathematical Foundations,https://www.classcentral.com/course/ntumlone-mathematicalfoundations-1326,National Taiwan University
23,Das liebe Geld – Finance im Alltag,https://www.classcentral.com/course/finanzen-7794,University of Zurich
24,Approximation Algorithms Part I,https://www.classcentral.com/course/approximation-algorithms-part-1-5026,École normale supérieure
25,Intel® Network Academy – Network Transformation 101,https://www.classcentral.com/course/network-transformation-101-12216,Intel
26,Foundations of Healthcare Systems Engineering,https://www.classcentral.com/course/foundations-of-healthcare-systems-engineering-21475,Johns Hopkins University
27,Computer Science: Programming with a Purpose,https://www.classcentral.com/course/cs-programming-java-13151,Princeton University
28,Information Security: Context and Introduction,https://www.classcentral.com/course/information-security-data-8123,University of London International Programmes
29,Алгоритмизация вычислений (Algorithmic computation),https://www.classcentral.com/course/algoritmizacija-vychislenij-6558,Higher School of Economics
30,機器學習技法 (Machine Learning Techniques),https://www.classcentral.com/course/ntumltwo-2847,National Taiwan University
31,Mastering Digital Twins,https://www.classcentral.com/course/mastering-digital-twins-13294,EIT Digital
32,Software Architecture for the Internet of Things,https://www.classcentral.com/course/iot-software-architecture-6507,EIT Digital
33,Introdução à Ciência da Computação com Python Parte 1,https://www.classcentral.com/course/ciencia-computacao-python-conceitos-7497,Universidade de São Paulo
34,Electrones en Acción: Electrónica y Arduinos para tus propios Inventos,https://www.classcentral.com/course/electrones-en-accion-4726,Pontificia Universidad Católica de Chile
35,Data Privacy Fundamentals,https://www.classcentral.com/course/northeastern-data-privacy-20025,Northeastern University 
36,Internet of Things Capstone: Build a Mobile Surveillance System,https://www.classcentral.com/course/internet-of-things-capstone-5124,"University of California, San Diego"
37,Internet of Things: Sensing and Actuation From Devices,https://www.classcentral.com/course/internet-of-things-sensing-actuation-4182,"University of California, San Diego"
38,"Computer Science: Algorithms, Theory, and Machines",https://www.classcentral.com/course/computerscience2-10671,Princeton University
39,离散优化算法篇 Solving Algorithms for Discrete Optimization,https://www.classcentral.com/course/lisan-youhua-suanfapian-11217,The Chinese University of Hong Kong
40,离散优化建模基础篇 Basic Modeling for Discrete Optimization,https://www.classcentral.com/course/lisan-youhua-jianmo-jichupian-7772,The Chinese University of Hong Kong
41,Solving Algorithms for Discrete Optimization,https://www.classcentral.com/course/solving-algorithms-discrete-optimization-11219,University of Melbourne
42,离散优化建模高阶篇 Advanced Modeling for Discrete Optimization,https://www.classcentral.com/course/lisan-youhua-jianmo-gaojiepian-7775,The Chinese University of Hong Kong
43,Advanced Modeling for Discrete Optimization,https://www.classcentral.com/course/advancedmodeling-7757,University of Melbourne
44,[New] Advanced Modeling for Discrete Optimization 离散优化建模高阶篇,https://www.classcentral.com/course/advancedmodeling-cn-7758,The Chinese University of Hong Kong
45,Basic Modeling for Discrete Optimization,https://www.classcentral.com/course/basic-modeling-7759,University of Melbourne
46,[New] Basic Modeling for Discrete Optimization 离散优化建模基础篇,https://www.classcentral.com/course/basic-modeling-cn-7760,The Chinese University of Hong Kong
47,Moving to the Cloud,https://www.classcentral.com/course/movingtothecloud-6607,University of Melbourne
48,算法设计与分析 Design and Analysis of Algorithms,https://www.classcentral.com/course/algorithms-3230,Peking University
49,操作系统原理（Operating Systems）,https://www.classcentral.com/course/os-3229,Peking University
50,操作系统与虚拟化安全,https://www.classcentral.com/course/osvirtsecurity-2348,Peking University
51,计算机辅助翻译原理与实践 Principles and Practice of Computer-Aided Translation,https://www.classcentral.com/course/catmooc-2354,Peking University
52,计算机组成 Computer Organization,https://www.classcentral.com/course/pkuco-2351,Peking University
53,Introduction to Formal Concept Analysis,https://www.classcentral.com/course/formal-concept-analysis-7769,Higher School of Economics
54,機器學習基石下 (Machine Learning Foundations)—Algorithmic Foundations,https://www.classcentral.com/course/ntumlone-algorithmicfoundations-9737,National Taiwan University
55,人工智慧：搜尋方法與邏輯推論 (Artificial Intelligence – Search & Logic),https://www.classcentral.com/course/rengong-zhineng-10375,National Taiwan University
56,人工智慧：機器學習與理論基礎 (Artificial Intelligence – Learning & Theory),https://www.classcentral.com/course/ai2-11519,National Taiwan University
57,Arduino y algunas aplicaciones,https://www.classcentral.com/course/arduino-aplicaciones-7108,Universidad Nacional Autónoma de México
58,Сетевое администрирование: от теории к практике,https://www.classcentral.com/course/network-administration-10183,Tsinghua University
59,Population Health: Predictive Analytics,https://www.classcentral.com/course/population-health-predictive-analytics-19151,Leiden University
60,Clasificación de imágenes: ¿cómo reconocer el contenido de una imagen?,https://www.classcentral.com/course/clasificacion-imagenes-4609,Universitat Autònoma de Barcelona (Autonomous University of Barcelona)
61,Introduction to TCP/IP,https://www.classcentral.com/course/tcpip-9143,Yonsei University
62,Deep Learning for Business,https://www.classcentral.com/course/deep-learning-business-9431,Yonsei University
63,Architecting Smart IoT Devices,https://www.classcentral.com/course/iot-architecture-6839,EIT Digital
64,Introduction to Architecting Smart IoT Devices,https://www.classcentral.com/course/iot-devices-6748,EIT Digital
65,System Validation: Automata and behavioural equivalences,https://www.classcentral.com/course/automata-system-validation-6825,EIT Digital
66,Blockchain for the decision maker,https://www.classcentral.com/course/blockchain-decision-maker-13811,EIT Digital
67,I/O-efficient algorithms,https://www.classcentral.com/course/io-efficient-algorithms-16913,EIT Digital
68,Cybersecurity Awareness and Innovation,https://www.classcentral.com/course/cybersecurity-13790,EIT Digital
